protein	goTerm	degree	score
FBgn0030966	GO:0043546	18	0.01380991064175467
FBgn0030327	GO:0043546	15	0.011372867587327376
FBgn0033748	GO:0006355	21	0.016246953696181964
FBgn0286204	GO:0006355	10	0.007311129163281885
FBgn0029117	GO:0016020	20	0.015434606011372868
FBgn0003507	GO:0016020	55	0.043866774979691305
FBgn0026395	GO:0004888	10	0.007311129163281885
FBgn0262214	GO:0004888	2	0.0008123476848090983
FBgn0052484	GO:0016310	74	0.059301380991064176
FBgn0063498	GO:0016310	38	0.030056864337936636
FBgn0030482	GO:0006550	35	0.02761982128350934
FBgn0053903	GO:0006550	9	0.006498781478472786
FBgn0052383	GO:0160032	10	0.007311129163281885
FBgn0000808	GO:0160032	13	0.00974817221770918
FBgn0032016	GO:0005737	45	0.03574329813160033
FBgn0069164	GO:0005737	2	0.0008123476848090983
FBgn0039848	GO:0016641	7	0.00487408610885459
FBgn0051450	GO:0016641	11	0.008123476848090982
FBgn0050385	GO:0008150	4	0.002437043054427295
FBgn0010422	GO:0008150	86	0.06904955320877336
FBgn0031976	GO:0016042	7	0.00487408610885459
FBgn0000618	GO:0016042	150	0.12103980503655565
FBgn0038251	GO:0005737	54	0.04305442729488221
FBgn0002579	GO:0005737	166	0.13403736799350122
FBgn0264959	GO:0007435	108	0.08692120227457352
FBgn0040503	GO:0007435	24	0.01868399675060926
FBgn0020887	GO:0005634	251	0.20308692120227456
FBgn0003268	GO:0005634	40	0.03168155970755483
FBgn0284255	GO:0034314	27	0.021121039805036556
FBgn0085395	GO:0034314	22	0.017059301380991064
FBgn0086917	GO:0007591	8	0.005686433793663688
FBgn0283509	GO:0007591	20	0.015434606011372868
FBgn0028734	GO:0048134	351	0.2843216896831844
FBgn0026319	GO:0048134	110	0.08854589764419171
FBgn0004595	GO:0007406	64	0.05117790414297319
FBgn0028872	GO:0007406	11	0.008123476848090982
FBgn0040651	GO:0005753	5	0.003249390739236393
FBgn0013325	GO:0005753	175	0.1413484971567831
FBgn0004066	GO:0019773	269	0.21770917952883834
FBgn0034802	GO:0019773	789	0.6401299756295694
FBgn0052666	GO:0006468	64	0.05117790414297319
FBgn0032782	GO:0006468	37	0.02924451665312754
FBgn0031950	GO:0030968	20	0.015434606011372868
FBgn0261041	GO:0030968	14	0.010560519902518278
FBgn0036327	GO:0006099	40	0.03168155970755483
FBgn0054031	GO:0006099	3	0.0016246953696181965
FBgn0015778	GO:0008069	44	0.034930950446791224
FBgn0259168	GO:0008069	111	0.08935824532900082
FBgn0003486	GO:0004497	20	0.015434606011372868
FBgn0027363	GO:0004497	115	0.0926076360682372
FBgn0026393	GO:0004984	8	0.005686433793663688
FBgn0027080	GO:0004984	40	0.03168155970755483
FBgn0031467	GO:0031012	45	0.03574329813160033
FBgn0003396	GO:0031012	86	0.06904955320877336
FBgn0266599	GO:0035967	735	0.5962632006498781
FBgn0264975	GO:0035967	151	0.12185215272136475
FBgn0025633	GO:0007527	26	0.020308692120227456
FBgn0026721	GO:0007527	63	0.050365556458164096
FBgn0011604	GO:0140751	167	0.1348497156783103
FBgn0266369	GO:0140751	21	0.016246953696181964
FBgn0003205	GO:0007465	348	0.2818846466287571
FBgn0015032	GO:0007465	100	0.08042242079610074
FBgn0262954	GO:0001056	56	0.04467912266450041
FBgn0038005	GO:0001056	5	0.003249390739236393
FBgn0011661	GO:0005634	291	0.2355808285946385
FBgn0259196	GO:0005634	32	0.025182778229082048
FBgn0004380	GO:0005929	63	0.050365556458164096
FBgn0011710	GO:0005929	50	0.039805036555645816
FBgn0038418	GO:0008270	12	0.008935824532900082
FBgn0051109	GO:0008270	6	0.004061738424045491
FBgn0032803	GO:0005575	3	0.0016246953696181965
FBgn0260960	GO:0005575	248	0.20064987814784727
FBgn0011768	GO:0005829	78	0.06255077173030058
FBgn0010213	GO:0005829	61	0.048740861088545896
FBgn0011481	GO:0098847	52	0.041429731925264016
FBgn0263761	GO:0098847	3	0.0016246953696181965
FBgn0267821	GO:0000977	220	0.17790414297319251
FBgn0085420	GO:0000977	21	0.016246953696181964
FBgn0042693	GO:0070194	91	0.07311129163281885
FBgn0035375	GO:0070194	12	0.008935824532900082
FBgn0014020	GO:0007377	225	0.18196588139723802
FBgn0262734	GO:0007377	18	0.01380991064175467
FBgn0004620	GO:0005886	27	0.021121039805036556
FBgn0263248	GO:0005886	3	0.0016246953696181965
FBgn0000233	GO:0045944	33	0.025995125913891144
FBgn0032151	GO:0045944	21	0.016246953696181964
FBgn0030944	GO:0008150	73	0.05848903330625508
FBgn0054029	GO:0008150	3	0.0016246953696181965
